"name","technology","fuel","nameplate_capacity_mw","status","planning_status","country","admin_division_level_1","date_commercial_operation","date_end_operation","geom_point","latitude","longitude","geom_area","website","note","pv_module_oem","pv_module_model","pv_module_type","pv_module_rating_w","pv_module_qty","inverter_oem","inverter_model","inverter_type","inverter_rating_w","inverter_qty","array_structure_oem","array_structure_model","array_structure_type"
Mokoan Solar Farm,Solar PV - Single axis tracking,Solar - Solar,46.0,Development,,Australia,Victoria,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Molong Solar Farm,Solar PV - Single axis tracking,Solar - Solar,36.08,Operational,,Australia,New South Wales,2021-01-02,,POINT (148.9081967 -33.083961),-33.083961,148.9081967,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Monaro Solar Farm,Solar PV - Fixed,Solar - Solar,70.0,Development,,Australia,New South Wales,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Monash Solar Farm ,Solar PV - Fixed,Solar - Solar,100.0,Development,,Australia,South Australia,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Moonah Solar Farm,Solar PV - Single axis tracking,Solar - Solar,230.0,Development,,Australia,Victoria,2028-01-04,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Moorambilla Solar Farm,Solar PV - Fixed,Solar - Solar,5.0,Development,,Australia,New South Wales,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Moorebank Logistics Park Project - Solar,Solar PV - Fixed,Solar - Solar,120.0,Development,,Australia,New South Wales,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Moranbah Workers Solar,Solar PV - Fixed,Solar - Solar,0.21,Operational,,Australia,Queensland,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Moree Solar Farm,Solar PV - Single axis tracking,Solar - Solar,56.0,Operational,,Australia,New South Wales,,,POINT (149.867 -29.569),-29.569,149.867,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Morgan Solar,Solar PV - Fixed,Solar - Solar,108.0,Development,,Australia,South Australia,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Morgan To Whyalla Pipeline No 1 PS And Water Filtration Plant,Solar PV - Single axis tracking,Solar - Solar,6.12,Operational,,Australia,South Australia,2022-01-08,,POINT (139.6836843 -34.021229),-34.021229,139.6836843,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Morgan To Whyalla Pipeline No 2 PS,Solar PV - Single axis tracking,Solar - Solar,5.88,Operational,,Australia,South Australia,2022-01-06,,POINT (139.4214753 -33.971238),-33.971238,139.4214753,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Morgan To Whyalla Pipeline No 3 PS,Solar PV - Single axis tracking,Solar - Solar,7.38,Operational,,Australia,South Australia,2022-01-06,,POINT (139.1715928 -33.9717444),-33.9717444,139.1715928,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Morgan To Whyalla Pipeline No 4 PS,Solar PV - Single axis tracking,Solar - Solar,5.88,Operational,,Australia,South Australia,2022-01-08,,POINT (139.06094 -33.965215),-33.965215,139.06094,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Mortlake Energy Hub - Solar,Solar PV - Single axis tracking,Solar - Solar,333.64,Development,,Australia,Victoria,2026-01-04,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Morundah Solar Power Plant (Thermal),Solar Thermal - Central collector,Solar - Solar,600.0,Development,,Australia,New South Wales,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Morwell Solar,Solar PV - Single axis tracking,Solar - Solar,,Development,,Australia,Victoria,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Mount Larcom (Site A) Solar Farm,Storage - Battery,Solar - Solar,200.0,Development,,Australia,Queensland,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Mount Larcom (Site A) Solar Farm,Solar PV - Single axis tracking,Solar - Solar,500.0,Development,,Australia,Queensland,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Mount Majura,Solar PV - Single axis tracking,Solar - Solar,2.3,Operational,,Australia,New South Wales,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Mount Sheridan Plaza,Solar PV - Fixed,Solar - Solar,0.3,Operational,,Australia,Queensland,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Mount Tom Solar Farm,Solar PV - Fixed,Solar - Solar,500.0,Development,,Australia,Queensland,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Moura Solar Farm,Solar PV - Single axis tracking,Solar - Solar,99.0,Operational,,Australia,Queensland,2023-01-04,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Mt Challenger Solar Farm,Solar PV - Fixed,Solar - Solar,20.0,Development,,Australia,Queensland,,,POINT (148.389502 -20.315164),-20.315164,148.389502,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
